CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,S1,S2
Las Vegas ,1630 S. Commerce Street,NV,US,2018-10-20,more than 500,500,,500,,,Democratic Party Rally,Rallying for Democratic candidates,1,rally,0,0,0,0,1,1,https://www.ktnv.com/news/obama-biden-headlining-rallies-in-las-vegas,https://www.wsbtv.com/news/national-news/ap-top-news/biden-rallies-union-for-democrats-in-tight-nevada-races/856657000?utm_source=homestream&utm_medium=site_navigation&utm_campaign=homestream_click,,,,
Newark,,NJ,US,2018-10-20,thousands,2000,,2000,,,general supporters,raise money and awareness for breast cancer.,0,rally,0,0,0,0,1,1,http://newjersey.news12.com/story/39327338/thousands-march-to-raise-money-bring-awareness-to-breast-cancer,,,,,
New Paltz,,NY,US,2018-10-20,More than 300,300,,300,,,general supporters,to march in support of a mural of the American flag that’s being planned for the side wall of a local pizzeria.,0,"rally, protest",0,0,0,0,1,1,https://www.recordonline.com/news/20181021/supporters-opponents-rally-over-new-paltz-flag-mural,,,,,
Niles,party election headquarters in Pine Tree Plaza,OH,US,2018-10-20,,,,,,,The Trumbull County Democratic Party,rallying for Democratic candidates,1,rally,,,,,1,1,http://www.vindy.com/news/2018/oct/18/trumbull-dems-have-rally-saturday/?nw,,,,,
Pendleton,Pendleton City Hall,OR,US,2018-10-20,,,,,,,Renew Oregon,rallying for climate action,1,rally,,,,,1,1,https://www.eastoregonian.com/news/local/pendleton-to-host-climate-rally/article_c84307af-892f-5bda-8ca0-77bd3e265bea.html,,,,,
Pittsburg,Nation's Giant Hamburgers,CA,US,2018-10-20,,,,,,,The Oscar Grant Committee Against Police Brutality and State Repression,protesting police killing of local Black man,1,rally,,,,,1,1,https://www.mercurynews.com/2018/10/19/activists-question-shooting-death-by-pittsburg-police-will-hold-rally-saturday/,,,,,
Prescott,Point of Rocks along the popular Peavine Trail,AZ,US,2018-10-20,500-600,500,,600,,,general protesrors,Save the Dells,0,rally,0,0,0,0,1,1,https://www.dcourier.com/news/2018/oct/20/save-dells-rally-attracts-hundreds-point-rocks/,https://roselawgroupreporter.com/2018/06/save-the-dells-group-pushes-for-500-acre-regional-park-in-granite-dells/,,,,
Richmond ,downtown ,VA,US,2018-10-20,,,,,,,rally for Ryan McAdams ,rallying for support in the upcoming mid-term election ,2,rally,0,0,0,0,1,1,https://www.wdbj7.com/content/news/Pence-to-rally-Virginia-Republican-voters-497850511.html,,,,,
San Francisco,,CA,US,2018-10-20,"more than 1,000",1000,,1000,,,Marriott employees ,rallying for better wages and more security,0,march,41,0,0,0,1,1,https://www.sfchronicle.com/bayarea/article/More-than-1-000-striking-hotel-workers-march-13323335.php,https://www.sfgate.com/crime/article/41-striking-workers-supporters-arrested-outside-13304029.php?t=7e59c2d0c8,,,,
Statesboro ,S. University of Georgia - Statesboro,GA,US,2018-10-20,,,,,,,NAACP and University Students ,rallying aginst the use of rasict words ,0,rally,0,0,0,0,1,1,http://www.thegeorgeanne.com/news/article_8db31e9c-5afe-5bdc-a0b4-83b8cc597dd6.html,,,,,
St. George,Main Street and St. George Boulevard,UT,US,2018-10-20,over 30,30,,30,,,general protestors,Walk for Freedom ,0,"protest, march",0,0,0,0,1,1,https://www.stgeorgeutah.com/news/archive/2018/10/20/mkh-southern-utah-community-gathers-to-silently-protest-fastest-growing-crime-in-the-u-s/#.XGc7hy-ZOjQ,,,,,
The Colony,Lava Cantina,TX,US,2018-10-20,"about 1,000",1000,,1000,,,O'Rourke campaign,rallying Democratic support,1,rally,0,0,0,0,1,1,https://www.ntdaily.com/orouke-holds-rally-in-denton-county-before-early-voting-begins/,,,,,
Tucson,downtown Tucson,AZ,US,2018-10-20,dozens,24,,24,,,"Former U.S. Rep. Gabrielle Giffords and her husband, former NASA astronaut and Navy veteran Mark Kelly",gun safety,0,rally,0,0,0,0,1,1,https://www.kgun9.com/news/local-news/giffords-kelly-hold-gun-control-platform-focused-election-rally,,,,,
Vincennes,First Church of God,IN,US,2018-10-20,,,,,,,general protestors,raising awareness about human trafficking,0,march,0,0,0,0,1,1,https://www.wthitv.com/content/news/Locals-march-to-raise-awareness-of-human-trafficking-in-Wabash-Valley-498115141.html,,,,,
Vista,"door to door in Vista, CA",CA,US,2018-10-20,hundreds,200,,200,,,Moms Demand Action,common sense gun legislation.,0,rally,0,0,0,0,1,1,https://www.10news.com/news/parkland-shooting-victim-s-father-advocates-for-common-sense-gun-laws?autoplay=true,https://www.10news.com/news/parkland-shooting-victim-s-father-advocates-for-common-sense-gun-laws,,,,
Waikiki,Kalakaua Avenue,HI,US,2018-10-20,thousands,2000,,2000,,,general protestors,"support for gay, lesbian and transgender people of Hawaii.",0,parade,0,0,0,0,1,1,http://www.kitv.com/story/39325723/thousands-marched-at-annual-pride-parade,,,,,
Waynesboro,Rosenwald Community Center,VA,US,2018-10-20,,,,,,,general protestors,"rallying for unity, racial justice",1,rally,,,,,1,1,https://www.dailyprogress.com/newsvirginian/organizers-hope-to-showcase-unity-at-saturday-s-march/article_0c71e478-d353-11e8-bdd6-0f2704421a9b.html,,,,,
West Chester Township,West Chester Township’s Square at Union Centre,OH,US,2018-10-20,about 60 people,60,,60,,,supporters of Kathy Wyenandt ,rallying for non-partisanship,1,rally,0,0,0,0,1,1,https://www.journal-news.com/news/local/local-dem-seeking-ohio-house-seat-has-rally-tout-non-partisanship/iKY43KC0drKhTTGI5GPzaM/,https://www.daytondailynews.com/news/local/local-dem-seeking-ohio-house-seat-has-rally-tout-non-partisanship/iKY43KC0drKhTTGI5GPzaM/,,,,
White Plains,outside Planned Parenthood,NY,US,2018-10-20,14 (counted picture),14,,14,,,pro-life groups,against Planned Parenthood,2,protest,0,0,0,0,1,1,http://westchester.news12.com/story/39324674/pro-life-groups-rally-outside-planned-parenthood-in-white-plains,,,,,
Accomac,Mary N. Smith Cultural Enrichment Center,VA,US,2018-10-21,a big crowd; photo count ,150,,150,,,Democratic candidates Sen. Tim Kaine and Elaine Luria,to get out the vote for the November elections,1,rally,0,0,0,0,1,1,https://www.delmarvanow.com/story/news/local/virginia/2018/10/28/kaine-luria-rally-vote-virginias-eastern-shore/1738017002/,,,,,
Bristol,Cumberland Square Park ,VA,US,2018-10-21,hundres,200,,200,,,Local church leaders,Say No To The Casino Rally,0,rally,0,0,0,0,1,1,https://wcyb.com/news/local/hundreds-gather-for-a-rally-against-the-proposed-bristol-casino-project,,,,,
Charleson,Washington Square,SC,US,2018-10-21,,,,,,,Members of the American Heritage Association,calling for the protection of historic monuments,0,rally,,,,,1,1,https://www.postandcourier.com/news/group-to-hold-downtown-charleston-rally-to-protect-historic-monuments/article_9315c1de-d3e9-11e8-b781-971d94ea9367.html,,,,,
Greendale ,Outside Greendale Highschool ,WI,US,2018-10-21,almost 50 ,50,,50,,,general protestors ,protesting the use of racial slurs by Greendale students ,0,protest,0,0,0,0,1,1,https://www.jsonline.com/story/communities/southwest/news/greendale/2018/10/22/racial-slurs-prompt-protest-rally-greendale-high-school/1728177002/,,,,,
Madison ,Concource Hotel ,WI,US,2018-10-21,,,,,,,campaign rally for Tammy Baldwin ,rallying for support in the upcoming mid-term election ,1,rally,0,0,0,0,1,1,https://www.dailycardinal.com/article/2018/10/kamala-harris-endorses-state-democrats-in-sunday-rally,,,,,
Minneapolis ,Cedar Riverside Neighborhood ,MN,US,2018-10-21,more than 75,75,,75,,,general protestors ,protesting the U.S.'s involvement in war ,0,protest;march,0,0,0,0,1,1,http://www.fightbacknews.org/2018/10/22/minnesotans-march-demand-end-us-wars,,,,,
Staunton ,Stonewall Jackson Hotel ,VA,US,2018-10-21,about 60,60,,60,,,general protestors ,protesting the constuction of a natural gas pipeline ,0,protest,0,0,0,0,1,1,https://www.newsleader.com/story/news/local/2018/10/21/protesters-bring-anti-pipeline-message-rural-prosperity-conference/1724123002/,,,,,
Waterbury,,CT,US,2018-10-21,,,,,,,general protestors,protest gun violence,0,protest,0,0,0,0,1,1,https://www.wtnh.com/news/community/anti-violence-rally-taking-place-in-waterbury-on-sunday/1539848502,,,,,
Astoria ,Heritage Square ,OR,US,2018-10-22,,,,,,,general protestors ,protesting the city's decision to stop allowing homeless people to sleep in the forest ,0,protest,0,0,0,0,1,1,https://www.dailyastorian.com/news/local/we-ve-reached-a-boiling-point/article_17095895-97fb-51a6-bf6e-09debcf50b02.html,,,,,
Beckley ,Mountain Vally Pipeline Lay Down Yard,WV,US,2018-10-22,,,,,,,general protestors ,protesting the pipeline ,0,protest,6,0,0,0,1,1,https://www.register-herald.com/news/six-protesters-arrested-in-raleigh-county/article_2b6935cf-22de-558c-9520-cae96e50af30.html,http://www.theintermountain.com/news/local-news/2018/10/trump-jr-speaks-at-morrisey-rally/,,,,
Des Moines,Area Community College ,IA,US,2018-10-22,about 200 ,200,,200,,,democratic rally ,rallying for democratic support in the upcoming midterm election ,1,rally,0,0,0,0,1,1,https://www.radioiowa.com/2018/10/22/senate-harris-deflects-2020-conversation-rallies-with-iowans-for-2018/,,,,,
Fort Myers,Englewood Beach ,FL,US,2018-10-22,,,,,,,general protestors ,protesting the waterfeast boat race because it hurts animals ,0,protest,0,0,0,0,1,1,https://www.nbc-2.com/story/39336980/protesters-rally-for-animal-safety-ahead-of-englewood-beach-boat-races,,,,,
Gainsville ,Turlington Plaza to Reitz Union ,FL,US,2018-10-22,,,,,,,Rally for Democratic Candidate Gillum,rallying for support in the upcoming midterm ,1,rally;march,0,0,0,0,1,1,https://www.alligator.org/news/democratic-gubernatorial-candidate-andrew-gillum-leading-march-at-uf-to/article_6d671fd6-d8d6-11e8-8af4-43eb31796e5f.html,,,,,
Greenfield ,Indianapolis regional airport,IN ,US,2018-10-22,about 300,300,,300,,,Rally for Sen. candidate Mike Braun,rallying for support in the midterm election ,2,rally,0,0,0,0,1,1,https://www.wane.com/news/indiana/trump-jr-to-speak-at-indiana-gop-rally/1525226114,http://www.greenfieldreporter.com/2018/10/22/live-coverage-donald-trump-jr-hosts-gop-rally-in-greenfield/,,,,
Houston,Toyota Center,TX,US,2018-10-22,roughly 20000,20000,,20000,,,Trump administration,"for Republican candidates, for President Trump",2,rally,0,0,0,0,1,1,https://www.cnn.com/2018/10/22/politics/ted-cruz-election-2018-president-trump-campaign-rival-opponent/index.html,https://www.washingtonpost.com/politics/2018/11/19/president-trumps-crowd-size-estimates-increasingly-unbelievable/?noredirect=on&utm_term=.51e3c14ab10c,https://www.yourbasin.com/news/donald-trump-s-houston-rally-with-ted-cruz-moved-to-bigger-venue/1535474345,feat. President Trump,7,
Inwood,Heritage Hall,WV,US,2018-10-22,roughly 300,300,,300,,,Rally for Morrisey ,rallying for support in the upcoming mid-term election ,2,rally,0,0,0,0,1,1,https://www.heraldmailmedia.com/news/tri_state/donald-trump-jr-to-rally-for-morrisey-in-inwood-w/article_10dd3c90-d233-11e8-824d-a7025677c14d.html,,,,,
Jacksonville ,"Field House, UNF",FL,US,2018-10-22,,,,,,,"Joe Biden, Andrew Gillum, Bill Nelson",Rallying for Democtatic support,1,rally,,,,,1,1,https://unfspinnaker.com/71979/news/unf-hosts-rally-with-joe-biden-andrew-gillum-and-bill-nelson/,,,,,
Joplin ,Veterans of Foreign War Post 534,MO,US,2018-10-22,about 100,100,,100,,,rally for republican candidate Hawley ,rallying for support in the upcoming midterm ,2,rally,0,0,0,0,1,1,https://www.joplinglobe.com/news/local_news/hawley-rallies-base-in-joplin-mccaskill-stop-in-wings/article_a60f387b-29c9-5ac1-80b8-50423d4e3072.html,,,,,
Kenosha,UAW Hall 72,WI,US,2018-10-22,hundreds ,200,,200,,,Democratic Party Rally,Rallying for Democratic candidates,1,rally,0,0,0,0,1,1,https://fox6now.com/2018/10/16/bernie-sanders-to-headline-democratic-rallies-in-milwaukee-kenosha/,http://www.kenoshanews.com/news/local/sanders-wi-working-families-back-bryce-at-packed-kenosha-rally/article_c8294158-8cb4-560d-8e7a-0b4c0b20370a.html,,,,
Lancaster ,Firehouse Park ,OH,US,2018-10-22,,,,,,,Rally for Rick Neal ,rallying for support in the upcoming mid-term election ,1,rally,0,0,0,0,1,1,https://www.lancastereaglegazette.com/story/news/politics/elections/2018/10/22/ohio-democrat-candidates-bus-tour-lancaster-try-seize-moment/1725559002/,,,,,
Las Vagas ,University of Nevada ,NV,US,2018-10-22,2000,2000,,2000,,,Democratic Party Rally ,Rallying for Democratic candidates,1,rally,0,0,0,0,1,1,https://thehill.com/homenews/campaign/411495-obama-to-speak-at-campaign-rally-for-nevada-dems,https://pvtimes.com/news/barack-obama-rallies-voters-in-las-vegas/,,,,
Lubbock ,,TX,US,2018-10-20,,,,,,,Rally for Democratic candidate Valdez and Collier ,rallying for support in the upcoming midterm ,1,rally,0,0,0,0,1,1,https://www.lubbockonline.com/news/20181022/texas-democratic-candidates-stump-in-lubbock-local-candidates-host-rally,,,,,
Lubbock ,Cactus Theater ,TX,US,2018-10-20,about 30 ,30,,30,,,rally for democratic candidate Drew Landry ,rallying for support in the upcoming midterm ,1,rally,0,0,0,0,1,1,https://www.lubbockonline.com/news/20181022/texas-democratic-candidates-stump-in-lubbock-local-candidates-host-rally,,,,,
Milwaukee,,WI,US,2018-10-22,more than 1100,1100,,1100,,,Democratic Party Rally,Rallying for Democratic candidates,1,rally,0,0,0,0,1,1,https://fox6now.com/2018/10/16/bernie-sanders-to-headline-democratic-rallies-in-milwaukee-kenosha/,https://www.kiro7.com/news/politics/sanders-rallies-wisconsin-voters-before-trump-obama-visits/857709199?utm_source=homestream&utm_medium=site_navigation&utm_campaign=homestream_click,,,,
New Philadelphia ,Buffalo Wild Wings ,OH,US,2018-10-22,,,,,,,Republican Rally ,rallying for support in the midterm election ,2,rally,0,0,0,0,1,,https://www.timesreporter.com/news/20181023/republican-voters-rally-in-new-philadelphia,,,,,
New York City ,Lower Manhattan Academy for the Arts ,NY,US,2018-10-22,About a dozen ,12,,12,,,students ,protesting the removal of their principle ,0,protest,0,0,0,0,1,1,https://www.chalkbeat.org/posts/ny/2018/10/22/principals-removal-from-manhattan-high-school-stirs-protest-from-parents-and-students/,,,,,
Reading ,the Common,MA,US,2018-10-22,,,,,,,Reading Embraces Diversity (R.E.D.) group,rally to support Jewish community,1,rally,,,,,1,1,http://homenewshere.com/daily_times_chronicle/news/reading/article_7d0876b2-dc8a-11e8-bcd0-5b53fb82314a.html,,,article is about graffiti that followed five days after the rally,,
Rock Island ,210 15th St. ,IA,US,2018-10-22,more thean 40 ,40,,40,,,general protestors ,protesting the proposed demolition of the courthouse ,0,protest,0,0,0,0,1,1,https://qctimes.com/news/local/government-and-politics/supporters-rally-to-save-rock-island-county-courthouse/article_0d78df31-2900-5349-ae94-9d7be7e5220a.html,,,,,
Roswell ,International Air Center,NM,US,2018-10-22,,,,,,,Get Out the Vote,rallying for republican candidates,2,rally,0,0,0,0,1,1,https://www.koat.com/article/vice-president-mike-pence-visits-roswell-for-rally/24078572,,,,,
San Diego,Hall of Justice ,CA,US,2018-10-22,,,,,,,general protestors ,protesting police brutality ,1,protest,0,0,0,0,1,1,https://www.10news.com/news/national-day-of-actions-to-stop-police-brutality-sparks-events-across-san-diego,,,,,
Santa Clara ,,CA,US,2018-10-22,,,,,,,general protestors ,protesting the proposed increase in gas tax ,2,rally;protest,0,0,0,0,1,1,https://www.sfchronicle.com/politics/article/John-Cox-pushes-for-repeal-of-CA-gas-tax-hike-at-13327259.php?src=hp_totn,,,,,
Tampa ,University of Flordia Tampa ,FL,US,2018-10-22,,,,,,,Flordia Democrats ,rallying for support in the upcoming mid-term election ,1,rally,0,0,0,0,1,1,https://wsvn.com/news/politics/at-tampa-rally-biden-calls-election-fight-for-soul-of-america/,http://www.tampabay.com/florida-politics/buzz/2018/10/19/joe-biden-is-coming-to-florida-next-week-to-rally-for-andrew-gillum-and-bill-nelson/,,,,
Vancouver,Clark College,WA,US,2018-10-22,about two dozen,24,,24,,,Patriot Prayer ,"pro-gun, pro-second amendment",2,rally,0,0,0,0,1,1,https://www.oregonlive.com/clark-county/index.ssf/2018/10/vancouvers_clark_college_close.html,,,,,
Vancouver,Clark College,WA,US,2018-10-22,na,3,,3,,,counter-protestors,protesting Patriot Prayer,1,protest,0,0,0,0,0,1,https://www.oregonlive.com/clark-county/index.ssf/2018/10/vancouvers_clark_college_close.html,https://komonews.com/news/local/clark-college-to-close-over-planned-protest-wsu-vancouver-to-stay-open,,,,
Washington ,Outside the White House ,DC,US,2018-10-22,,,,,,,general protestors ,protesting Trump's plan to exclude transgender and non-binary from the legal definition of gender ,1,protest,0,0,0,0,1,1,https://thehill.com/homenews/administration/412557-trans-advocacy-groups-protest-in-front-of-white-house,,,,,
Belton ,Schoepf's Bar-B-Que ,TX,US,2018-10-23,,,,,,,Campaign rally for Abbott,rallying for support in the upcoming mid-term election ,2,rally,0,0,0,0,1,1,http://www.tdtnews.com/news/article_09457a0e-d636-11e8-b587-478389bf2886.html,,,,,
Berkeley ,UC Berkeley Campus ,CA,US,2018-10-23,about 150,150,,150,,,UC Berkeley union workers ,protesting UC Berkeley outsourcing their jobs ,0,protest;strike ,0,0,0,0,1,1,http://www.dailycal.org/2018/10/23/uc-union-members-march-through-campus-form-picket-lines-on-first-day-of-strike/,,,,,
Brimingham ,220 Merrill St. ,MI,US,2018-10-23,,,,,,,Campaign rally for Bill Schelte ,rallying for support in the upcoming mid-term election ,2,rally,0,0,0,0,1,1,https://www.mlive.com/news/index.ssf/2018/10/lara_trump_to_rally_for_candid.html,,,,,
Cambridge ,Theo's Restaurant ,OH,US,2018-10-23,,,,,,,Rally for GOP candidate Husted ,Rallying for support in the upcoming midterm ,2,rally,0,0,0,0,1,1,https://www.daily-jeff.com/news/20181023/husted-rallies-cambridge-for-gop-governor-candidate,,,,,
Carbondale ,Outside Carbondale City Hall,IL,US,2018-10-23,,,,,,,general protestors ,protesting Trump's rally in a near-by town ,1,protest,0,0,0,0,1,1,http://www.kfvs12.com/2018/10/24/trump-rally-protest-held-front-carbondale-city-hall/,,,,,
Chicago ,63 St. and Cottage Grove Ave. ,IL,US,2018-10-23,,,,,,,Rally for mayor candidate Amare Enyia ,rallying for support in the upcoming midterm ,1,rally,0,0,0,0,1,1,https://chicago.suntimes.com/news/chance-the-rapper-amara-enyia-rally-mayor-candidate-election-woodlawn-gentrification/,,,,,
Euclid ,City Hall,OH,US,2018-10-23,,,,,,,NAACP Euclid Chapter,protesting police volience ,1,protest,0,0,0,0,1,1,https://www.wkyc.com/article/news/local/cuyahoga-county/naacp-rallies-for-police-terminations-mayoral-meeting-after-controversial-officer-rehired/95-606978389,,,,,
Gainesville ,Outside Hobby Lobby ,FL,US,2018-10-23,About 15,15,,15,,,Trans Rigths Action Committee,protesting Presidents Trumps proposed gender defintion that excudes transgender ,1,protest,0,0,0,0,1,1,https://www.alligator.org/news/residents-protest-trump-administration-s-gender-definition-support-transgender-community/article_d4328350-d73b-11e8-83e3-07ee8437a4cf.html,,,,,
Geneva ,Outside Coultrap Educational Service Center ,IL,US,2018-10-23,more than 400,400,,400,,,Teachers,rallying for better pay and benifits ,0,protest;rally,0,0,0,0,1,1,https://www.kcchronicle.com/2018/10/24/geneva-teachers-rally-in-force-before-negotiation-session/a2x6t20/,,,,,
Greenwich ,,CT,US,2018-10-23,,,,,,,Democratic Party rally ,rallying for support in the upcoming mid-term election ,1,rally,0,0,0,0,1,1,https://www.stamfordadvocate.com/local/article/Bergstein-Bysiewicz-rally-party-faithful-in-13330721.php,,,,,
Jackson,outside capitol,MS,US,2018-10-23,,,,,,,general protestors,against domestic violence,0,vigil,,,,,1,1,https://twitter.com/MCADVdotORG/status/1047837802036178944,,,,3,
Killeen ,Killeen Civic and Coference Center ,TX,US,2018-10-23,,,,,,,Joint campaign rally for Cruz-Corngn,rallying for support in the upcoming mid-term election ,2,rally,0,0,0,0,1,1,http://www.tdtnews.com/news/article_09457a0e-d636-11e8-b587-478389bf2886.html,,,,,
Livonia,17310 N Laurel Park Drive ,MI,US,2018-10-23,,,,,,,campaign rally for Lena Epstein ,rallying for support in the midterm election ,2,rally,0,0,0,0,1,1,https://www.mlive.com/news/index.ssf/2018/10/lara_trump_to_rally_for_candid.html,,,,,
Long Beach ,Outside Cal State Long Beach University Student Union ,CA,US,2018-10-23,nearly 200,200,,200,,,general protestors,"protesting conservative group, Turning Point USA, event on campus ",1,protest,0,0,0,0,1,1,https://www.presstelegram.com/2018/10/23/police-separate-protesters-counter-protesters-during-conservative-groups-talk-at-cal-state-long-beach/,,,,,
Los Angeles,Unified School District Headquarters ,CA,US,2018-10-23,over 300,300,,300,,,Teachers and parents ,demanding better pay for teachers and smaller class sizes ,0,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2018/10/24/la-teachers-supporters-march-lausd-headquarters,,,,,
Mineola ,,NY,US,2018-10-23,hundreds ,200,,200,,,general protestors ,protesting the lack of proper education funding ,0,protest,0,0,0,0,1,1,https://www.newsday.com/long-island/education/school-aid-minority-schools-1.22343500,,,,,
Monroe ,111 East First St. ,MI,US,2018-10-23,,,,,,,Campaign rally for Walburg ,rallying for support in the upcoming mid-term election ,2,rally,0,0,0,0,1,1,https://www.mlive.com/news/index.ssf/2018/10/lara_trump_to_rally_for_candid.html,,,,,
New Hartford ,,NY,US,2018-10-23,,,,,,,Campaign rally for Rep. Claudia Tenney,rallying for support in the upcoming mid-term election ,2,rally,0,0,0,0,1,1,https://www.localsyr.com/news/local-news/eric-trump-visiting-central-new-york-for-claudia-tenney-rally/1542314392,http://orlando-rising.com/joe-biden-riles-up-orlando-rally-for-democrats/,,,,
Oakland ,City Hall,CA,US,2018-10-23,nearly 100,100,,100,,,general protestors ,protesting the city's treatment of homeless people ,0,protest,0,0,0,0,1,1,https://www.santacruzsentinel.com/2018/10/23/oakland-activists-protest-cruel-and-inhuman-treatment-of-homeless-after-scathing-un-report/,,,,,
Orlando ,,FL,US,2018-10-23,several hundred ,200,,200,,,Democratic Rally ,rallying for support in the upcoming midterms ,1,rally,0,0,0,0,1,1,https://www.orlandosentinel.com/news/politics/political-pulse/os-pictures-former-veep-joe-biden-rallies-democrats-in-orlando-20181023-photogallery.html,https://www.orlandosentinel.com/news/politics/political-pulse/os-ne-biden-nelson-orlando-20181019-story.html,,,,
Reading ,Reading Aera Comminity College ,PA,US,2018-10-23,roughly 100,100,,100,,,Safe Berk's Silent Witness March ,marching to protest somestic violence,0,protest;march,0,0,0,0,1,1,https://www.readingeagle.com/news/article/safe-berks-silent-witness-march-recalls-those-lost-to-domestic-violence,,,,,
Salt Lake City,241 N 300th St.,UT,US,2018-10-23,,,,,,,March for Our Lives Utah,pro-gun control,1,rally,,,,,1,1,https://twitter.com/March4LivesUT/status/1052993438482804736,,,,3,
South Hadley ,Overlook Memorial Park ,MA,US,2018-10-23,,,,,,,general protestors ,protesting Mount. Holyokes college adminstration response to sexual assults ,1,protest,0,0,0,0,1,1,https://www.gazettenet.com/Students-rally-as-Mount-Holyoke-after-sexual-assault-allegations-21042456,,,,,
Tempe,ASU,AZ,US,2018-10-23,,,,,,,Bernie Sanders for Garcia campaign,rallying for Democratic support/GOTV,1,rally,0,0,0,0,1,1,https://www.12news.com/article/news/politics/bernie-sanders-joining-gubernatorial-candidate-david-garcia-in-tucson-tempe-rallies/75-606207798,https://www.kgun9.com/news/political/elections-local/sen-sanders-expected-in-arizona-for-rallies-to-get-out-vote,,,,
Traverse City ,Open Spaces ,MI,US,2018-10-23,,,,,,,Democratic Party of Michigan ,rallying against perscription drugs prices ,1,rally;protest,0,0,0,0,1,1,https://upnorthlive.com/news/local/michigan-democratic-party-uses-giant-inflatable-to-rally-against-prescription-drug-prices,,,,,
Tucson ,Richard Jefferson Gym ,AZ,US,2018-10-23,,,,,,,Rally for democratic candidate Garcia ,rallying for support in the upcoming midterm ,1,rally,0,0,0,0,1,1,http://www.wildcat.arizona.edu/article/2018/10/n-bernie-sanders-rally,https://www.12news.com/article/news/politics/bernie-sanders-joining-gubernatorial-candidate-david-garcia-in-tucson-tempe-rallies/75-606207798,https://www.kgun9.com/news/political/elections-local/sen-sanders-expected-in-arizona-for-rallies-to-get-out-vote,,,
Albany ,Ray Charles Plaza ,NY,US,2018-10-23,,,,,,,Rally for Democratic candidate Stacy Abrams ,rallying for support in the upcoming election ,1,rally,0,0,0,0,1,1,https://www.albanyherald.com/news/local/democratic-stacey-abrams-holds-campaign-rally-in-albany/article_d64194de-40d1-5930-9fa8-9a6819b382b8.html,,,,,
Vancouver,Clark College,OR,US,2018-10-23,,,,,,,Patriot Prayer ,in protest of Initiative 1639,2,protest,,,,,1,1,https://www.oregonlive.com/clark-county/2018/10/vancouvers_clark_college_to_cl.html,https://hosted.ap.org/dailycourier/article/1443370c1d44494e9079a081ae4c81b4/clark-college-close-because-planned-protest,,,,
Annapolis ,Ouside governor's mansion ,MD,US,2018-10-24,more than 300,300,,300,,,State Union workers,"protesting excessive case loads, low wages and deterioratng public services ",0,protest,0,0,0,0,1,1,https://foxbaltimore.com/news/local/300-md-state-union-members-rally-against-staffing-crisis,,,,,
Austin,Houston School Park ,TX,US,2018-10-24,few dozen,24,,24,,,Rally for democratic candidate O'Rourkee,rallying for support in the midterm on the first day of early voting,1,rally,0,0,0,0,1,1,https://www.kxan.com/news/local/austin/o-rourke-rallies-voters-in-austin-while-cruz-campaigns-with-cornyn/1546780252,,,,,
Bakersfield ,Abate-a-Weed,CA,US,2018-10-24,,,,,,,general protestors ,rallying for people to vote yes on Prop 6 which would repeal a gas tax ,0,rally,0,0,0,0,1,1,https://bakersfieldnow.com/news/local/prop-6-supporters-rally-in-bakersfield-for-gas-tax-repeal,,,,,
Brookings,Brookings City & County Government Center,SD,US,2018-10-24,,,,,,,Brookings and SDSU community,"rally and support survivors of sexual, relationship and domestic violence",1,rally,,,,,,,https://brookingsregister.com/article/take-back-the-night-rally-set-for-wednesday,,,,,
Boulder,University of Colorado Boulder ,CO,US,2018-10-24,about 2000,2000,,2000,,,Get Out the Vote,rallying for democratic candidate Polis ,1,rally,0,0,0,0,1,1,https://kdvr.com/2018/10/24/bernie-sanders-campaigns-for-jared-polis-with-get-out-the-vote-rallies/,,,,,
Detroit ,Outside WDIV,MI,US,2018-10-24,nearly 100,100,,100,,,union workers,rallying for better workers rigths and for people to vote in the upcoming midterm ,1,rally,0,0,0,0,1,1,https://www.freep.com/story/news/local/michigan/detroit/2018/10/24/protest-detroit-governors-debate/1756343002/,,,,,
Elma ,Jamison Rd. Volunteer Fire Co Firehouse ,NY,US,2018-10-24,,,,,,,Republican Party of NY,Red Tide Rising rally to increase republican support going into the midterm ,2,rally,0,0,0,0,1,1,https://buffalonews.com/2018/10/17/bannon-to-attend-gop-rally-in-elma/,,,,,
Fort Collins ,Colorado State University Campus ,CO,US,2018-10-24,,,,,,,rally for democratic candidates,rallying for support in the upcoming mid-term election ,1,rally,0,0,0,0,1,1,https://www.coloradoan.com/story/news/politics/elections/2018/10/22/colorado-election-bernie-sanders-2018-rally-fort-collins/1729732002/,,,,,
Forty Fort ,Wyoming Valley Airport,PA,US,2018-10-24,,,,,,,Republican Party of PA,rallying for support in the upcoming midterm ,2,rally,0,0,0,0,1,1,https://www.citizensvoice.com/news/tickets-available-for-pence-rally-visit-1.2400903,,,,,
