City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Adrian,,,US,2018-02-09,,,,,,,general protestors,Walk4Warmth; Raise awareness about the need for government assistance to pay for utilities,0,march,0,0,0,0,1,1,http://www.lenconnect.com/news/20180208/walk-4-warmth-to-march-friday-in-downtown-adrian,,,
Burlington,University of Vermont,VT,US,2018-02-09,,,,,,,general protestors,Protesting Doritos' new chips for women,0,protest,0,0,0,0,1,1,http://www.wandtv.com/story/37476465/munch-in-protest-calls-out-pepsico-commentary,,,
Charles Town,Washington High School and Page Jackson Elementary School,WV,US,2018-02-09,About half of the classroom teachers,,,,,,general protestors,Rallying for teacher's contracts,0,rally,0,0,0,0,1,1,http://www.journal-news.net/news/local-news/2018/02/breaking-point-teachers-protest-across-eastern-panhandle/,,,
Cheektowaga,Wendt Corporation,NY,US,2018-02-09,,,,,,,general protestors,Rallying for workers rights,0,rally,0,0,0,0,1,1,http://wivb.com/2018/02/09/unionized-wendt-corporation-rally-on-friday/,http://buffalonews.com/2018/02/08/union-plans-rally-outside-wendt-corp-amid-expected-layoffs/,,
Easton,One Centre Square,PA,US,2018-02-09,,,,,,,general protestors,Protesting appearence of rapper who is a sex-offender,0,protest,,,,,1,1,http://www.lehighvalleylive.com/easton/index.ssf/2018/02/hes_a_sex_offender_a_star_rapp.html,,,
Elkins,Randolph County Courthouse,WV,US,2018-02-09,FB: 53,53,,53,,,general protestors,Rallying for unity,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/182491829026584/,,,
Hartford,Main St.,CT,US,2018-02-09,FB: 96; about 100,96,,100,,,Forward CT,Protesting deportation of local woman,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1547933238661399/,https://www.nhregister.com/news/article/Rally-set-for-immigrant-couple-facing-deportation-12564662.php,https://www.ctpost.com/news/article/Rally-set-for-immigrant-couple-facing-deportation-12564662.php,
Keyser,Southern Drive,WV,US,2018-02-09,about 30,30,,30,,,Teachers,Rallying for higher pay for teachers,0,protest,0,0,0,0,1,1,http://www.times-news.com/news/local_news/mineral-county-teachers-rally-before-after-classes/article_6e0ecb33-d68f-5830-9f2f-5b58248ae636.html,,,
Kingwood,Preston County Courthouse,WV,US,2018-02-09,more than 100,100,,100,,,state workers; Preston County Education Association (PCEA) and American Federation of Teachers (AFT),Bring awareness too finacial situation of stare workers,0,protest,0,0,0,0,1,1,http://www.dominionpost.com/State-workers-rally-at-Kingwood,,,
Nashville,East Police HQ,TN,US,2018-02-09,,,,,,,Justice for Jocques Coalition,Protesting police brutality,0,protest,0,0,0,0,1,1,https://www.newschannel5.com/news/friends-family-hold-anniversary-rally-for-jocques-clemmons,,,
Naugatuck,Cedar St.,CT,US,2018-02-09,,,,,,,general protestors,Rallying to save local high school,0,rally,0,0,0,0,1,1,http://wtnh.com/2018/02/09/families-rally-to-try-and-save-naugatuck-catholic-school/,,,
New York,Bronx Criminal Court,NY,US,2018-02-09,dozens,24,,24,,,Public Defenders,Protesting ICE  ,1,protest,0,0,0,0,1,1,http://newyork.cbslocal.com/2018/02/09/bronx-public-defenders-protest/,http://www.jurist.org/paperchase/2018/02/public-defenders-protest-outside-of-nyc-courthouse-after-ice-arrest.php,,
New York,Clyde Frazier's,NY,US,2018-02-09,,,,,,,Rise and Resist,Protesting restaurant's treatment of its workers,0,protest,0,0,0,0,1,1,https://twitter.com/riseandresistny/status/962127418529107971,,,
Portland,MLK Jr. Blvd.,OR,US,2018-02-09,about 100: FB: 116,100,,116,,,Don't Shoot Portland,Protesting police shooting of local boy,0,protest,0,0,0,0,1,1,http://www.kgw.com/article/news/local/portland-protest-marks-anniversary-of-quanice-hayes-death/283-516726073,https://www.facebook.com/events/217250025516741/,,
Portland,Ockley Gren Middle School,OR,US,2018-02-09,,,,,,,Middle School Students,Rallying for racial equality,1,march,0,0,0,0,0,1,http://katu.com/news/local/parents-upset-after-impromptu-student-protest-at-ockley-green-middle-school,,,
Ravenswood,Ravenswood High School,WV,US,2018-02-09,more than a dozen,12,,12,,,general protestors,Rallying for teacher's contracts,0,rally,0,0,0,0,1,1,http://www.wsaz.com/content/news/Teachers-community-rally-for-better-pay-health-care-473555703.html,,,
Salt Lake City,Salt Palace Convention Center,UT,US,2018-02-09,about 150; two hundred protestors,150,,200,,,general protestors,Protesting Sec. Zinke's visit,1,protest,0,0,0,0,1,1,https://www.sltrib.com/news/2018/02/09/protesters-target-salt-lake-city-appearance-by-trumps-interior-secretary-slam-his-industry-friendly-public-lands-policies/,http://www.good4utah.com/news/local-news/hundreds-protest-utah-monument-reduction-during-zinkes-visit/964216630,,
San Diego,U.S. District Courthouse,CA,US,2018-02-09,about 50,50,,50,,,general protestors,Protesting border wall,1,rally,0,0,0,0,1,1,http://www.theyucatantimes.com/2018/02/us-federal-judge-in-san-diego-california-to-hear-border-wall-challenge/,http://www.sandiegouniontribune.com/visuals/photography/sd-pg-federal-courthouse-site-of-trump-wall-protest-20180209-photogallery.html,,
San Francisco,,CA,US,2018-02-09,About a dozen,12,,12,,,general protestors,Protesting Kinder Morgan's Trans Mountain pipeline,0,protest,0,0,0,0,1,1,http://www.cbc.ca/news/politics/trans-mountain-protest-california-1.4528947,,,
Seattle,Cleveland High School,WA,US,2018-02-09,FB: 181,181,,181,,,Social Equity Educators,Rallying for racial equality,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/163779640906782/,,,
Seattle,South Park neighborhood,WA,US,2018-02-09,dozens,24,,24,,,general protestors,Vigil for peace and march against gun violence,1,vigil; march,0,0,0,0,0,1,http://komonews.com/news/local/seattles-south-park-neighborhood-holds-silent-march-against-violence,,,
Tampa,Hillborough County Sheriff's office,FL,US,2018-02-09,dozens; more than 50,24,,50,,,general protestors,Protesting sheriff's relationship with ICE,1,protest,0,0,0,0,1,1,http://www.wtsp.com/article/news/dozens-protest-scheme-immigration-partnership-with-local-sheriffs/67-516824257,https://www.cltampa.com/news-views/local-news/article/20992077/tampa-immigration-rally-daca-luis-blanco,,
Tucson,Sen. McCain's office,AZ,US,2018-02-09,,,,,,,general protestors,Rallying for Kurdish independence,0,rally,0,0,0,0,1,1,https://www.kgun9.com/news/local-news/local-kurdish-community-holds-rally-to-give-senator-john-mccain-letter-asking-for-help,,,
Weston,3rd St.,WV,US,2018-02-09,,,,,,,American Federation of Teachers,Rallying for teacher's contracts,0,rally,0,0,0,0,1,1,http://www.wboy.com/news/lewis/state-employees-and-teachers-continue-rally-for-peia-insurance/963947405,,,
Ybor City,,FL,US,2018-02-09, three dozen ,36,,36,,,SEIU Florida,Protesting deal between sheriff's office and ICE,1,protest,0,0,0,0,1,1,http://www.tbo.com/news/publicsafety/Demonstrators-protest-ICE-deal-to-keep-undocumented-immigrants-in-local-jails_165329624,,,
Aiken,Aiken County Gov. Complex,SC,US,2018-02-10,more than 50,50,,50,,,general protestors,Protesting hospital demolition,0,protest,0,0,0,0,1,1,https://www.aikenstandard.com/news/local-leaders-developer-speak-at-rally-to-save-old-aiken/article_973f6ce0-0eb6-11e8-a219-d7a2bca7ecd7.html,,,
Bradenton, Manatee County Sheriff’s Office ; DeSoto Square Mall,FL,US,2018-02-10,about 20,20,,20,,,general protestors,Protesting the shooting of Corey Mobley; Protesting police brutality,1,protest,0,0,0,0,1,1,http://www.bradenton.com/news/local/article199534169.html,,,
Conestoga,,PA,US,2018-02-10,FB: 43,43,,43,,,general protestors,Protesting desecration of indigenous land,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/1974416236157798/,,,
Dayton,University of Dayton,OH,US,2018-02-10,,,,,,,Don't Eat Homies,Protesting human consumption of animals,0,protest,0,0,0,0,1,1,http://www.whio.com/news/local/peaceful-protesters-rally-stop-animal-suffering-light-dayton-circus-event/x3XImMD5mDKflrWeN3s2HL/,http://www.mydaytondailynews.com/news/local/peaceful-protesters-rally-stop-animal-suffering-light-dayton-circus-event/x3XImMD5mDKflrWeN3s2HL/,,protest from 2/10/18-2/11/18
Durango,Buckley Park,CO,US,2018-02-10,,,,,,,Colorado Immigration Rights Coalition; Compañeros: Four Corners Immigrant Resource Center; Durango Peace and Justice; Durango Save the Children.,Rallying in support of 'Dreamers',1,rally,0,0,0,0,1,1,https://the-journal.com/articles/84413-community-will-rally-to-support-the-dreamers,https://durangoherald.com/articles/207817-community-will-rally-to-support-the-dreamers,,
Flatwoods,Along interstate,WV,US,2018-02-10,about 50,50,,50,,,teachers,Rallying for teacher's contracts,0,rally,0,0,0,0,1,1,http://www.wdtv.com/content/news/Teachers-rally-in-Flatwoods--473737093.html,https://www.wvgazettemail.com/news/as-decision-on-statewide-strike-looms-braxton-teachers-rally/article_72e11560-35b3-5619-8cb7-68e78e2d0868.html,,
Hyannis,Powderhorn Outfitters,MA,US,2018-02-10,about 70,70,,70,,,general protestors,Protesting coyote huting contest,0,protest,0,0,0,0,1,1,http://www.capecodtimes.com/news/20180206/group-plans-protest-of-coyote-hunting-contest,http://www.capecodtimes.com/news/20180210/protesters-take-stand-on-coyote-hunt,,
Jacksonville,,FL,US,2018-02-10,,,,,,,general protestors,Rallying for justice in unsolved murder case,0,rally,0,0,0,0,1,1,https://www.news4jax.com/news/local/jacksonville/family-frustrated-2-months-have-passed-without-arrest-in-triple-murder,,,
Lewisburg,,WV,US,2018-02-10,Over a dozen,12,,24,,,general protestors,Rallying for environmental protection for town,0,rally,0,0,0,0,1,1,http://www.register-herald.com/news/minden-residents-protest-lack-of-action-in-toxic-town/article_98b8ccc0-d586-5469-b39c-61e8b8ff0c26.html,,,
Lompoc,Civic Center Plaza,CA,US,2018-02-10,more than 60,60,,60,,,general protestors,Protesting sexual assault,1,protest,0,0,0,0,1,1,http://santamariatimes.com/news/local/third-annual-billion-rising-rally-urges-lompoc-residents-to-stand/article_7a08f34c-e454-5b68-a354-0ec1e67b37bd.html,,,
McKinleyville,Pierson Park,CA,US,2018-02-10,,,,,,,California Nurses Association,Rallying for bill ensuring every person in CA healthcare,0,rally,0,0,0,0,1,1,https://thelumberjack.org/2018/02/13/nurses-knock-mckinleyville-doors-to-spread-awareness-about-sb-562/,,,
Miami Gardens,Betty T. Ferguson Amphitheatre,FL,US,2018-02-10,hundreds,200,,200,,,general protestors,Protesting gun violence and remembering Trayvon martin,0,protest,0,0,0,0,1,1,https://www.usnews.com/news/best-states/florida/articles/2018-02-10/jay-z-lends-star-power-to-florida-rally-for-trayvon-martin,http://www.miamiherald.com/news/local/community/miami-dade/miami-gardens/article199495974.html,http://cnycentral.com/news/entertainment/jay-z-lends-star-power-to-florida-rally-for-trayvon-martin,
Mountain View,Christian Church,MO,US,2018-02-10,,,,,,,Women of the World,Rallying for women's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/656645757857670/,,,
New Rochelle,Huguenot Park,NY,US,2018-02-10,dozens; more than 50,24,,50,,,general protestors,Rallying to end violence,0,rally,0,0,0,0,1,1,http://newyork.cbslocal.com/2018/02/10/new-rochelle-peace-rally/,https://www.lohud.com/story/news/local/westchester/new-rochelle/2018/02/10/wake-stabbings-residents-gather-anti-violence-rally/326098002/,http://westchester.news12.com/story/37474980/anti-violence-rally-held-in-new-rochelle,
New York,federal office in lower Manhattan,NY,US,2018-02-10,Hundreds ,200,,200,,,general protestors,Rallying for activist Ravi Ragbir,1,rally,0,0,0,0,0,1,http://www.idahostatesman.com/news/politics-government/national-politics/article199487369.html,http://www.thedailystar.com/news/state/hundreds-rally-in-nyc-against-deportation-of-activist/article_2c8b53fc-44e3-588c-8fe9-08566fd9252d.html,http://www.latimes.com/nation/nationnow/la-na-activist-deportation-20180210-story.html,
New York,federal office in lower Manhattan,NY,US,2018-02-10,,,,,,,general protestors,Counter protest at rally for activist Ravi Ragbir,2,protest,0,0,0,0,0,1,http://www.thedailystar.com/news/state/hundreds-rally-in-nyc-against-deportation-of-activist/article_2c8b53fc-44e3-588c-8fe9-08566fd9252d.html,,,
New York,Herald Square,NY,US,2018-02-10,,,,,,,March for Immigrants,Rallying for immigrant rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1828639227149178/,,,
Newport,White Oak Church of God,NC,US,2018-02-10,FB: 28,28,,28,,,general protestors,Protesting bullying,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/1893372554257478/,,,
Portland,Oregon Zoo,OR,US,2018-02-10,FB: 37,37,,37,,,Portland Animal Save,Protesting animal abuse,0,protest,0,0,0,0,0,1,https://www.facebook.com/events/950524455124129/,http://www.kptv.com/story/37476703/people-gather-outside-oregon-zoo-to-protest-packy-the-elephants-death,,
Portland,Police Department,OR,US,2018-02-10,,,,,,,general protestors,Protesting police shooting of local man,0,protest,0,0,0,0,1,1,http://www.koin.com/news/local/loved-ones-rally-for-quaince-hayes-outside-east-precinct/965934672,,,
Provo,Downtown,UT,US,2018-02-10,dozens,24,,24,,,general protestors,Rallying for clean air,1,rally,0,0,0,0,1,1,http://kutv.com/news/local/clean-air-rally-held-in-provo,,,
Raleigh,Downtown,NC,US,2018-02-10,thousands,2000,,2000,,,general protestors,Rallying for racial equality; Social Justice March,1,march,0,0,0,0,1,1,http://www.newsobserver.com/news/local/article199486584.html,http://www.morganton.com/news/state/ap/despite-rain-thousands-rally-at-annual-social-justice-march/article_3d9c34f7-7ae7-509e-982d-32ee5f61409c.html,http://www.djournal.com/news/around-mississippi/brother-of-slain-civil-rights-activist-to-speak-at-march/article_366f0ab0-f899-586c-8288-8d5a1b33de5b.html,
Rupert,Joint Powers Animal Shelter,ID,US,2018-02-10,,,,,,,general protestors,Protesting noise from shelter,0,protest,0,0,0,0,1,1,http://www.kmvt.com/content/news/Group-of-Rupert-residents-protest-to-have-animal-shelter-relocated-473705573.html,,,
Salt Lake City,Utah State Capitol,UT,US,2018-02-10,2,2,,2,,,general protestors,Protesting Trump's order to shrink the size of Bears Ears National Park,1,protest vandalism,0,0,0,1,1,1,https://www.sltrib.com/news/2018/02/10/police-investigating-political-vandalism-of-capitol-building/,,,
San Antonio,San Pedro and Rector Intersection,TX,US,2018-02-10,dozens,24,,24,,,general protestors,Support Legalized Marijuana ,1,protest,0,0,0,0,1,1,"
https://www.mysanantonio.com/news/local/article/San-Antonio-activists-promote-recreational-and-12604469.php",,,
San Diego,Embaracedaro,CA,US,2018-02-10,dozens,24,,24,,,general protestors,Rallying for DREAM Act,1,rally,0,0,0,0,1,1,http://www.cbs8.com/story/37476874/congressman-calls-for-protections-for-dreamers-during-san-diego-daca-rally,,,
San Diego,Point Loma Heights recycling center,CA,US,2018-02-10,,,,,,,general protestors,Protesting location of recycling center,0,protest,0,0,0,0,0,1,https://www.10news.com/news/residents-rally-to-can-recycling-center-from-point-loma,http://fox5sandiego.com/2018/02/10/residents-rally-to-move-point-loma-recycling-center/,,and/or Sunday 2/11/18
Schenectady,First United Methodist Church,NY,US,2018-02-10,,,,,,,Citizen Action of New York-Capital District Chapter,March to commemorate one-year anniversity of death of Andrew Kearse in police custody,1,march,0,0,0,0,1,1,https://dailygazette.com/article/2018/02/05/vigil-march-set-for-schenectady-in-custody-death-case,http://wnyt.com/news/blm-rally-march-demands-justice-for-bronx-man-who-died-in-schenectady-police-custody/4782125/,,
Seattle,University of Washington,WA,US,2018-02-10,about 40,40,,40,,,College Republicans,White nationalist rally,2,rally,0,0,0,0,1,1,http://www.king5.com/article/news/local/5-arrested-after-skirmishes-at-uw-college-republican-rally/281-517101622,http://lmtribune.com/northwest/trump-supporters-counterprotesters-rally-in-seattle/article_efa4260b-8242-5b0c-a5a7-1607b03741e6.html,,
Seattle,University of Washington,WA,US,2018-02-10,about 160,160,,160,,,general protestors,counter-protest,1,protest,5,0,0,0,0,1,http://www.king5.com/article/news/local/5-arrested-after-skirmishes-at-uw-college-republican-rally/281-517101622, https://www.seattlepi.com/seattlenews/article/Right-wing-group-rallies-on-University-of-12604078.php,https://www.seattletimes.com/seattle-news/follow-patriot-prayers-controversial-rally-at-university-of-washington-today/,
South Burlington,City Hall Park,VT,US,2018-02-10,,,,,,,Patriot Front,Reclaim America; White Supemacist rally,2,protest,0,0,0,0,0,1,https://www.burlingtonfreepress.com/story/news/local/2018/02/11/white-supremacist-group-not-welcome-burlington-mayor-says/327561002/,,,
South Burlington,Staples Plaza,VT,US,2018-02-10,more than 250; more than 200,200,,250,,,The People of Color Caucus in Burlington,Protesting white nationalism,1,protest,0,0,0,0,1,1,http://www.burlingtonfreepress.com/story/news/local/2018/02/10/burlington-group-shows-up-counter-rumored-patriot-front-gathering/326180002/,http://www.wcax.com/content/news/Rumor-sparks-one-sided-protest-473704243.html,https://www.ctpost.com/news/article/Vermont-counter-protesters-have-sidewalk-to-12605101.php,
Verona,Verona sidewalk,NJ,US,2018-02-10,a dozen,12,,12,,,general protestors,Protesting Essex county effort to control deer population,0,protest,0,0,0,0,1,1,https://www.northjersey.com/story/news/essex/verona-cedar-grove/2018/02/10/activists-protest-hunt-cull-what-others-consider-suburban-nuisance-deer/316224002/,,,
Austin,State Capitol,TX,US,2018-02-11,FB: 1100,1100,,1100,,,Austin NOW,Protesting Doritos' new chips for women,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/158063958316817/,https://patch.com/texas/downtownaustin/crunch-texas-women-protest-lady-friendly-doritos-chip,http://kxan.com/2018/02/11/let-them-eat-chips-thousands-of-women-to-eat-snack-in-public-protest/,
Bennington,Four Corners,VT,US,2018-02-11,about two dozen,24,,24,,,general protestors,Protesting firing of beloved principal,0,protest,0,0,0,0,1,1,"http://www.reformer.com/stories/supporters-want-beloved-principal-rehired-in-bennington,531874",,,
Dayton,,OH,US,2018-02-11,dozens,24,,24,,,general protestors,Protesting hospital closure,0,protest,0,0,0,0,1,1,http://www.whio.com/news/local/gubernatorial-candidate-kucinich-joins-rally-protest-good-sam-closure/id3ZPocOlsUohFjTxmXnxJ/,http://www.mydaytondailynews.com/news/local/gubernatorial-candidate-kucinich-joins-rally-protest-good-sam-closure/id3ZPocOlsUohFjTxmXnxJ/,,
Fayetteville,YMCA,NY,US,2018-02-11,about 20,20,,20,,,general protestors,Protesting firing of beloved coach,0,protest,0,0,0,0,1,1,http://www.syracuse.com/news/index.ssf/2018/02/fayetteville_ymca_runners_protest_popular_coachs_removal.html,,,
Kansas City,All Souls Unitarian Universalist Church,MO,US,2018-02-11,more than 100,100,,100,,,Free Syed Ahmed Jamal,Protesting ICE detention of a local man,1,rally,0,0,0,0,1,1,http://www2.ljworld.com/news/2018/feb/08/community-marches-support-detained-lawrence-scient/,http://fox4kc.com/2018/02/11/rep-cleaver-speaks-at-rally-in-support-of-park-university-professor-facing-deportation/,http://www.kansascity.com/news/local/article199588444.html,
Lewisburg,Post Office,PA,US,2018-02-11,about 30,30,,30,,,Lewisburg League of Women Voters,Protesting gerrymandering,0,protest,0,0,0,0,1,1,http://www.standard-journal.com/news/local/article_6d98afd4-0fef-11e8-9ca7-9b25b19bcedf.html,,,
Miami Beach,,FL,US,2018-02-11,,,,,,,Oceana,Protesting offshore drilling,1,protest,0,0,0,0,,1,http://wlrn.org/post/environmentalists-gather-oppose-possible-offshore-drilling-south-florida,,,
New York,Union Pool,NY,US,2018-02-11,FB: 111,111,,111,,,Women to the Front,Rallying for immigrant rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1156065621197285/,,,
New York,Uzbekistan Consulate,NY,US,2018-02-11,FB: 33,33,,33,,,Voices4; RUSA LGBT,"Protesting Anti-LGBT Violence In Uzbekistan, Azerbaijan, And Tajikistan",0,protest,0,0,0,0,0,1,http://www.newnownext.com/voices4-kiss-in-rally-uzbekistan-azerbaijan-tajikistan/02/2018/,https://www.facebook.com/events/1956861657973622/,,
Richardson,Civic Center,TX,US,2018-02-11,,,,,,,general protestors,Rallying for officers killed in line of duty,0,rally,0,0,0,0,1,1,https://www.nbcdfw.com/news/local/Vigil-in-Richardson-Honors-Fallen-Officer-473749583.html,,,
Sacramento,State Capitol,CA,US,2018-02-11,hundreds; FB: 1000; a few hundred,200,,1000,,,Travis election campaign,Campaign rally,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1759212504374207/,http://www.kcra.com/article/hundreds-rally-at-capitol-for-republican-gubernatorial-candidate/17015530,http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-gop-governor-candidate-for-travis-allen-1518393780-htmlstory.html,
Sarasota,Dolphin aviation,FL,US,2018-02-11,about 200,200,,200,,,GOP voters,Campaign rally for James Buchanan,2,rally,0,0,0,0,1,1,http://www.heraldtribune.com/news/20180211/corey-lewandowski-rallies-gop-base-in-closing-stretch-of-sarasota-state-house-race,,,
Stow,City Hall complex,OH,US,2018-02-11,,,,,,,general protestors,March for peace,0,march,0,0,0,0,1,1,https://www.ohio.com/akron/news/breaking-news-news/grassroots-peace-walk-will-answer-racial-vandalism-in-stow,,,
Akron,Broadway,OH,US,2018-02-12,hundreds,200,,200,,,Teachers,Protesting lack of student discipline,0,protest,0,0,0,0,1,1,https://www.ohio.com/akron/news/hundreds-of-teachers-protest-board-of-education-meeting-over-lack-of-student-discipline-by-administration,,,
Albany,State Capitol,NY,US,2018-02-12,,,,,,,Vocal New York,Rallying for homesless rights,0,rally,0,0,0,0,1,1,http://spectrumlocalnews.com/nys/capital-region/news/2018/02/12/advocates-rally-for-new-homeless-legislation,https://www.lohud.com/story/news/politics/politics-on-the-hudson/2018/02/12/yonkers-schools-rallying-ny-state-capitol/328672002/,,
Annapolis,Lawyers Mall Maryland State House,MD,US,2018-02-12,,,,,,,Citizens Against this SCMaglev,Protesting proposed high speed train,0,protest,0,0,0,0,0,1,,,,
Annapolis,Maryland State House,MD,US,2018-02-12,Hundreds,200,,200,,,general protestors,Rallying in support of 2nd Amendment,0,rally,0,0,0,0,1,1,https://marylandmatters.org/2018/02/12/pro-2nd-amendment-demonstrators-return-to-annapolis-in-greater-numbers/,,,
Atlana,,GA,US,2018-02-12,,,,,,,Fast Food Workers,Improve conditions; labor protes,0,protest,0,0,0,0,1,1,https://atlantadailyworld.com/2018/02/02/fifty-years-after-historic-sanitation-strike-thousands-of-cooks-cashiers-to-carry-on-fight-for-higher-pay-union-rights-with-strikes-protests-nationwide/,,,
Auburn,Phoenix Building,NY,US,2018-02-12,FB: 6,6,,6,,,general protestors,Protesting Rep. Katko,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/422578258157456/,,,
Boston,,MA,US,2018-02-12,,,,,,,general protestors,Rallying for man injured in a crash with police,0,rally,0,0,0,0,1,1,https://whdh.com/news/rally-calls-for-justice-for-man-injured-in-crash-with-bpd-officer/,,,
Centerburg,Firehouse,OH,US,2018-02-12,dozens,24,,24,,,general protestors,Rallying for officers killed in line of duty,0,rally,0,0,0,0,1,1,http://nbc4i.com/2018/02/12/officer-joerings-k9-partner-attends-vigil-in-centerburg/,,,
Cleveland,,OH,US,2018-02-12,,,,,,,general protestors,Rallying for higher minimum wage,0,rally,0,0,0,0,1,1,https://twitter.com/SEIULocal1/status/963188363921625088,,,
Des Moines,University Ave,IA,US,2018-02-12,,,,,,,general protestors,Rallying for higher minimum wage,0,rally,0,0,0,0,1,1,http://whotv.com/2018/02/12/restaurant-workers-rally-for-higher-wages/,https://www.radioiowa.com/2018/02/12/noon-hour-protest-for-15-hour-wage-at-central-iowa-restaurant/,,
Detroit,MLK Memorial Park,MI,US,2018-02-12,around 200,200,,200,,,general protestors,Rallying for higher minimum wage,0,rally,0,0,0,0,1,1,https://www.freep.com/story/news/local/michigan/detroit/2018/02/12/minimum-wage-protesters-hit-streets-detroit-demand-15-hour-and-civil-rights/328377002/,http://detroit.cbslocal.com/2018/02/12/200-march-to-mcdonalds-in-detroit-demanding-a-15-minimum-wage/,http://thehill.com/homenews/news/373366-fast-food-workers-to-rally-for-15-minimum-wage-report,
Eugene,City Hall,OR,US,2018-02-12,more than 100,100,,100,,,Parents,Protesting school's ban on Valentine's Day parties,0,protest,0,0,0,0,1,1,https://www.usnews.com/news/best-states/oregon/articles/2018-02-14/oregon-parents-outraged-by-lack-of-valentines-day-parties,,,
Eureka,,CA,US,2018-02-12,,20,,20,,,Cannabis farmers,Protesting Cannabis tax,0,protest,0,0,0,0,1,1,http://www.ukiahdailyjournal.com/general-news/20180219/humboldt-county-cannabis-farmers-protest-tax-compliance-costs,,,
Everette,Everett City High School,MA,US,2018-02-12,dozens,24,,24,,,general protestors,Protesting layoffs,0,protest,0,0,0,0,1,1,http://www.fox25boston.com/news/dozens-protest-potential-layoffs-at-everett-schools/698952958,,,
Follansbee,Follansbee Middle School,WV,US,2018-02-12,,,,,,,Teachers,Rallying for higher wages,0,rally,0,0,0,0,1,1,http://www.weirtondailytimes.com/news/local-news/2018/02/brooke-county-teachers-protest-pending-legislation/,,,
Gainesville,,FL,US,2018-02-12,,,,,,,general protestors,Rallying for officers killed in line of duty,0,rally,0,0,0,0,1,1,http://www.wcjb.com/content/news/Candlelight-vigil-held-for-fallen-GPD-officer-473871923.html,,,
Greenville,Memorial Dr.,NC,US,2018-02-12,dozens,24,,24,,,Fight for 15,Rallying for higher minimum wage,0,rally,0,0,0,0,1,1,http://www.reflector.com/News/2018/02/13/Demonstrators-demand-higher-wages.html,http://wnct.com/2018/02/12/greenville-fast-food-workers-rally-for-15-an-hour-minimum-wages/,,
Honolulu,State Capitol,HI,US,2018-02-12,hundreds,200,,200,,,general protestors,rally for early childhood programs for keikei,0,rally,0,0,0,0,1,1,http://www.kitv.com/story/37488849/hundreds-rallied-for-keiki-education,,,
Ithaca,Cornell University,NY,US,2018-02-12,FB: 44,44,,44,,,Students for Justice in Palestine,Rallying for Palestinians,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1788676514539700/,,,
Kansas City,Emanuel Cleaver Blvd.,MO,US,2018-02-12,,,,,,,Stand Up KC,Rallying for higher minimum wage,0,rally,0,0,0,0,1,1,http://fox4kc.com/2018/02/12/local-fast-food-workers-join-nationwide-campaign-to-increase-minimum-wage-to-15-per-hour/,http://www.kctv5.com/story/37482272/kansas-city-fast-food-workers-walk-off-the-job-in-fight-for-15-protest,,
Las Vegas,City Hall,NV,US,2018-02-12,several hundred,200,,200,,,general protestors,Protesting annexation proposal,0,protest,0,0,0,0,1,1,https://www.reviewjournal.com/news/politics-and-government/las-vegas/hundreds-turn-out-to-protest-las-vegas-annexation-plan/,,,
Las Vegas,S. Eastern Ave.,NV,US,2018-02-12,dozens,24,,24,,,general protestors,Rallying for higher minimum wage,0,rally,0,0,0,0,1,1,http://lasvegas.cbslocal.com/2018/02/12/vegas-fast-food-workers-on-strike-for-higher-wages-and-union-rights/,,,
Los Angeles,CSUN Campus,CA,US,2018-02-12,,,,,,,Armenian Students Association,Rallying awareness for Amernian genocide,0,rally,0,0,0,0,1,1,http://sundial.csun.edu/2018/02/annual-stain-of-denial-protest-takes-place-in-front-of-the-oviatt-library/,,,
Los Angeles,,CA,US,2018-02-12,more than 150,150,,150,,,Warrior Moms 4 Justice,Protesting new Public Defender; rallying for the poor,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1567555063359517/,https://checkout.latimes.com/subscriptionPanel/?presentation=MTRDigital&PID=4391&zipCode=00000&int=nav2,http://www.latimes.com/local/lanow/la-me-ln-public-defenders-rally-20180212-story.html,
Los Angeles,,CA,US,2018-02-12,,,,,,,general protestors,Rallying for higher minimum wage,0,rally,0,0,0,0,0,1,https://twitter.com/Fightfor15LA/status/963137241374601216,,,
